net,length_um
uartUnit.uartTxUnit.send_byte\[7\],8.02µm
uartUnit.fifoTX._052_,7.995µm
uartUnit.uartTxUnit.s\[2\],7.975µm
aluUnit._141_,7.88µm
aluUnit._055_,7.8µm
aluUnit._114_,7.78µm
aluUnit._002_,7.74µm
uartUnit.uartRxUnit._045_,7.74µm
aluUnit._015_,7.7µm
alu_uart_interfaceUnit.i_fifo_rx_empty,7.7µm
uartUnit.fifoTX.array\[1\]\[4\],7.64µm
aluUnit.o_alu_result\[7\],7.6µm
net1,7.6µm
net4,7.6µm
alu_uart_interfaceUnit._023_,7.565µm
alu_uart_interfaceUnit._088_,7.56µm
aluUnit._145_,7.54µm
uartUnit.fifoRX.array\[1\]\[2\],7.52µm
uartUnit.fifoTX._030_,7.505µm
aluUnit._000_,7.48µm
aluUnit._014_,7.46µm
uartUnit.fifoTX.array\[3\]\[4\],7.38µm
uartUnit.fifoTX.array\[2\]\[4\],7.305µm
uartUnit.fifoRX._002_,7.275µm
uartUnit.uartRxUnit._059_,7.2µm
uartUnit.uartTxUnit._046_,7.2µm
alu_uart_interfaceUnit._025_,7.185µm
uartUnit.fifoTX.array\[0\]\[0\],7.18µm
uartUnit.fifoTX.array\[1\]\[2\],7.18µm
uartUnit.fifoTX._031_,7.145µm
aluUnit._013_,7.12µm
uartUnit.fifoRX._012_,7.105µm
uartUnit.fifoRX.array\[3\]\[6\],7.1µm
uartUnit.fifoRX._061_,7.06µm
uartUnit.uartRxUnit._043_,7.06µm
uartUnit.fifoRX.array\[0\]\[3\],6.98µm
uartUnit.uartRxUnit._032_,6.98µm
uartUnit.fifoTX._028_,6.96µm
uartUnit.fifoRX.array\[0\]\[6\],6.86µm
uartUnit.fifoRX._016_,6.825µm
uartUnit.fifoTX._009_,6.825µm
uartUnit.uartTxUnit._059_,6.78µm
uartUnit.fifoTX.array\[0\]\[4\],6.76µm
uartUnit.fifoTX._059_,6.72µm
uartUnit.uartRxUnit._015_,6.685µm
i_clk,6.67µm
alu_uart_interfaceUnit._089_,6.66µm
aluUnit._081_,6.64µm
uartUnit.uartTxUnit._034_,6.6µm
uartUnit.uartTxUnit._072_,6.54µm
alu_uart_interfaceUnit._007_,6.485µm
uartUnit.uartRxUnit._004_,6.485µm
uartUnit.uartTxUnit._005_,6.485µm
uartUnit.uartTxUnit._019_,6.465µm
alu_uart_interfaceUnit._032_,6.425µm
uartUnit.fifoTX._002_,6.365µm
uartUnit.fifoTX._004_,6.365µm
uartUnit.fifoTX._017_,6.365µm
uartUnit.fifoTX._025_,6.365µm
uartUnit.fifoTX._035_,6.365µm
